legacy_path,proposed_destination,status,reason
/about-us/,/about/,implemented_308,"Preserve documented story"
/search-engine-optimization-services-agency-company-mumbai/,/seo/,implemented_308,"Closest current commercial destination; local value still needs audit"
/digital-marketing-services-agency-company-mumbai/,/digital-marketing/,implemented_308,"Closest current commercial destination"
/social-media-marketing-services-agency-company-mumbai/,/digital-marketing/social-media-marketing/,implemented_308,"Direct service match"
/website-design-and-development-services-agency-company-mumbai/,/digital-marketing/website-design-development/,implemented_308,"Direct service match"
/ecommerce-marketplace-management-services-agency-company-mumbai/,/digital-marketing/marketplace-management/,implemented_308,"Direct service match"
/digital-ad-films-video-production/,/video-production/ad-and-brand-films/,implemented_308,"Direct production intent"
/corporate-film-production/,/video-production/corporate-videos/,implemented_308,"Corporate intent preserved"
/brand-anthem-video-production-mumbai-india/,/video-production/ad-and-brand-films/,review_redirect,"Supporting page not fully migrated"
/short-film-production-india/,/video-production/ad-and-brand-films/,review_redirect,"Full page/value audit pending"
/videos-podcast/,/video-production/corporate-videos/,review_redirect,"Full page/value audit pending"
/drone-videosgraphy/,/video-production/,review_redirect,"Legacy spelling preserved in direct map; capability confirmation pending"
/social-media-video-production/,/video-production/social-media-videos/,implemented_308,"Direct service match"
/purobien-nutrition/,/work/purobien-nutrition/,implemented_308,"One canonical integrated case"
/shreeji/,/work/shreeji-woodcraft/,implemented_308,"Canonical descriptive slug"
/bhoomi/,/work/bhoomi/,implemented_308,"Canonical integrated case"
/bryan-candy/,/work/bryan-candy/,implemented_308,"Canonical integrated case"
/dr-amyn-rajani/,/work/dr-amyn-rajani/,implemented_308,"Canonical integrated case"
/recons-group/,/work/recons-group/,implemented_308,"Canonical integrated case"
/sigma-group/,/work/sigma-group/,implemented_308,"Canonical integrated case"
/red-moments/,/work/red-moments/,implemented_308,"Canonical integrated case"
/aarya-menstrual-care/,/work/aarya-menstrual-care/,implemented_308,"Canonical integrated case"
/timex-micas/,/work/timex-mica/,implemented_308,"Correct canonical client slug"
/social-case-study/bryan-candy/,/work/bryan-candy/,implemented_308,"Avoid redirect chain"
/social-case-study/dr-amyn-rajani/,/work/dr-amyn-rajani/,implemented_308,"Avoid redirect chain"
/social-case-study/recons-group/,/work/recons-group/,implemented_308,"Avoid redirect chain"
/social-case-study/sigma-realtors/,/work/sigma-group/,implemented_308,"Avoid redirect chain"
/social-case-study/red-moments/,/work/red-moments/,implemented_308,"Avoid redirect chain"
/social-case-study/aarya-menstrual-care/,/work/aarya-menstrual-care/,implemented_308,"Avoid redirect chain"
/social-case-study/timex-mica/,/work/timex-mica/,implemented_308,"Avoid redirect chain"
