claim_id,entity_id,source_id,source_url,exact_published_claim,metric_definition,baseline,result,unit,period,evidence_status,contradiction_note,approval_status,public_display_allowed,reviewed_at,reviewer
ORG-01,organization,A02,https://www.ambestbrandcom.in/about-us/,"Ambest name connected to Ambe and bringing out the best",narrative,,,,,published_current_site,,needs_owner_review,true,2026-09-22,Codex
ORG-02,organization,A02,https://www.ambestbrandcom.in/about-us/,"work across India and APAC",geographic_experience,,,,,published_current_site,"Does not establish worldwide office/delivery network",needs_owner_review,true,2026-09-22,Codex
HOME-COUNTERS,organization,A01,https://www.ambestbrandcom.in/,"20+ years; 1800+ projects/campaigns; 72+ clients; 45 crew; 9 countries",multiple_undefined,,,,,needs_reconciliation,"Definitions/current dates absent",blocked,false,2026-09-22,Codex
SEO-COUNTERS,seo,A05,https://www.ambestbrandcom.in/search-engine-optimization-services-agency-company-mumbai/,"15+ years; 100+ projects; 80+ local businesses; 10K+ page-one keywords; 60% lead increase; 3X ROI; 95% satisfaction",multiple_undefined,,,,,needs_reconciliation,"Cohorts periods definitions absent",blocked,false,2026-09-22,Codex
DIGITAL-COUNTERS,digital,A06,https://www.ambestbrandcom.in/digital-marketing-services-agency-company-mumbai/,"4X ROAS; 5+ crore monthly ad spend; 35% ACOS reduction; 100+ brands; 90% retention",multiple_undefined,,,,,needs_reconciliation,"Spend revenue cohort attribution absent",blocked,false,2026-09-22,Codex
C01-METRICS,purobien,A12,https://www.ambestbrandcom.in/purobien-nutrition/,"66% sales growth; 5x impressions; ACOS below 25%; conversion above 5%; CTR above 1%; 3x revenue",multiple_undefined,,,,,needs_reconciliation,"Not all claims share channel/period",blocked,false,2026-09-22,Codex
C04-METRICS,bryan-candy,"A15;A06",https://www.ambestbrandcom.in/bryan-candy/,"leads visits units sales impressions CTR ACOS ROAS conversion repeat customers CPR",multiple_undefined,,,,,needs_reconciliation,"Conflicting periods; CPR undefined; CTR explanation defective",blocked,false,2026-09-22,Codex
C05-METRICS,dr-amyn-rajani,"A16;A05",https://www.ambestbrandcom.in/dr-amyn-rajani/,"+233% traffic; competing keyword and lead figures",multiple_undefined,,,,6_months_possible,needs_reconciliation,"Standalone and overview figures differ",blocked,false,2026-09-22,Codex
C06-DELIVERABLES,recons,A17,https://www.ambestbrandcom.in/recons-group/,"identity packaging guidelines audiovisual stakeholder/social communication explainers collateral",documented_deliverables,,,,,published_current_site,"No usable outcome supplied",needs_media_permission,true,2026-09-22,Codex
C07-METRICS,sigma,A18,https://www.ambestbrandcom.in/sigma-group/,"impressions visits leads bookings engagement CTR",multiple_undefined,,,,mixed,needs_reconciliation,"Different periods cannot form one funnel",blocked,false,2026-09-22,Codex
C08-METRICS,red-moments,A19,https://www.ambestbrandcom.in/red-moments/,"impressions visits enquiries proposals traffic engagement conversion",multiple_undefined,,,,,needs_reconciliation,"Channel period quality attribution unclear",blocked,false,2026-09-22,Codex
C09-METRICS,aarya,A20,https://www.ambestbrandcom.in/aarya-menstrual-care/,"5x sales; +1000% engagement; three Top 50 products",multiple_undefined,,,,6_months_possible,needs_reconciliation,"Product certification endorsement/platform proof separate",blocked,false,2026-09-22,Codex
C10-METRICS,timex-mica,A21,https://www.ambestbrandcom.in/timex-micas/,"7M impressions; 200K visits; 3500 enquiries; 600 influenced conversions",multiple_undefined,,,,,needs_reconciliation,"Period and influenced attribution unclear",blocked,false,2026-09-22,Codex
