media_id,source_url,kind,title,width,height,duration,poster,project_id,attribution,usage_rights_status,approval_status,implementation_status
M01,https://www.ambestbrandcom.in/wp-content/uploads/2025/11/BFSI.mp4,video,BFSI,,,,,,Ambest current site,unknown,blocked,not_imported
M02,https://www.ambestbrandcom.in/wp-content/uploads/2025/11/Cosmetics-n.mp4,video,Cosmetics,,,,,,Ambest current site,unknown,blocked,not_imported
M03,https://www.ambestbrandcom.in/wp-content/uploads/2025/11/Educational-Tech.mp4,video,Education and technology,,,,,,Ambest current site,unknown,blocked,not_imported
M04,https://www.ambestbrandcom.in/wp-content/uploads/2025/11/Food.mp4,video,Food and beverage,,,,,,Ambest current site,unknown,blocked,not_imported
M05,https://www.ambestbrandcom.in/wp-content/uploads/2025/11/Lifestyle-n.mp4,video,Lifestyle,,,,,,Ambest current site,unknown,blocked,not_imported
M06,https://www.ambestbrandcom.in/wp-content/uploads/2025/11/medtronic-video.mp4,video,Health and care,,,,,,Ambest current site,unknown,blocked,not_imported
M07,https://www.ambestbrandcom.in/wp-content/uploads/2026/07/BTS-3.mp4,video,Behind the scenes 3,,,,,,Ambest current site,unknown,blocked,not_imported
M08,https://www.ambestbrandcom.in/wp-content/uploads/2025/11/BTS-2.mp4,video,Behind the scenes 2,,,,,,Ambest current site,unknown,blocked,not_imported
M09,https://www.ambestbrandcom.in/wp-content/uploads/2025/11/BTS-1.mp4,video,Behind the scenes 1,,,,,,Ambest current site,unknown,blocked,not_imported
M10,https://www.ambestbrandcom.in/wp-content/uploads/2025/11/Testimonial-Video-.mp4,video,Testimonial video,,,,,,Ambest current site,unknown,blocked,not_imported
