route,page_type,status,source_ids,notes
/,home,implemented,"A01;A02;A03","No unapproved counters/testimonials/media"
/about/,company,implemented,"A02;A03;A04","People/media await approval"
/contact/,contact,implemented,"A03;A04","Published contacts; operational status unconfirmed"
/get-a-quote/,form,implemented,"brief 12","Production delivery blocked pending credentials"
/privacy-policy/,legal,review_hold,A04,"Facts preserved; full legal approval required"
/disclaimer/,legal,review_hold,A25,"Existing route preserved; approved text required"
/services/ad-films-video-content/,main_service,implemented,"A10;A11;A23","Primary offer; detailed production routes retained"
/services/brand-communication-strategy/,main_service,implemented,"A02;A06;brief","Primary offer; country-specific global examples await approval"
/services/creative-solutions/,main_service,implemented,"A12-A21;brief","Primary cross-format creative offer"
/services/digital-social/,main_service,implemented,"A05-A09;A22-A24","Primary offer; SEO and digital routes retained as capabilities"
/services/website-development/,main_service,implemented,"A09;A12-A21;brief","Primary offer; corporate, campaign and migration scope"
/services/brand-experiences-partnerships/,main_service,constrained,"A12-A21;brief","Primary offer; named partnership and experience cases await approval"
/seo/,division,implemented,A05,"Four offer pathways"
/seo/how-it-works/,method,implemented,A05,"S1-S4 proposed scope"
/seo/results/,results,implemented,"A05;A12;A13;A16","Qualitative evidence only"
/seo/technical-seo/,solution,implemented,A05,"Audit vs implementation distinguished"
/seo/local-seo/,solution,implemented,A05,"No fake locations/reviews"
/seo/content-led-seo/,solution,implemented,"A05;A22","Search-led intent"
/seo/ecommerce-seo/,solution,implemented,"A05;A12","Marketplace scope separated"
/video-production/,division,implemented,"A01;A10;A11;A23","Approved media pending"
/video-production/how-it-works/,method,implemented,"A10;A11;A23","V1-V4 proposed scope"
/video-production/results/,results,implemented,"A13;A17","Qualitative production relationships"
/video-production/ad-and-brand-films/,solution,implemented,A10,"Rights/distribution separated"
/video-production/corporate-videos/,solution,implemented,A11,"Interview/permission boundaries"
/video-production/product-explainer-videos/,solution,implemented,A23,"2D confirmed; 3D not assumed"
/video-production/social-media-videos/,solution,implemented,A23,"Production vs publishing separated"
/digital-marketing/,division,implemented,"A06;A07;A08;A09","Seven current services"
/digital-marketing/social-media-marketing/,service,implemented,A07,"No virality guarantee"
/digital-marketing/ppc-advertising/,service,implemented,A06,"Fees/spend/creative/landing scope separated"
/digital-marketing/content-marketing/,service,implemented,A06,"Broader than search-led content"
/digital-marketing/email-marketing/,service,constrained,A06,"Detailed capability/case not established"
/digital-marketing/website-design-development/,service,implemented,A09,"Migration/handover included"
/digital-marketing/marketplace-management/,service,implemented,A08,"Platforms listed neutrally"
/digital-marketing/strategy-consultation/,service,implemented,A06,"Concrete outputs; no forced retainer"
/digital-marketing/results/,results,implemented,"A06;A07;A08;A09","Shared cases with actual relationships"
/work/,work_index,implemented,A12-A21,"One canonical collection"
/work/purobien-nutrition/,project,qualitative,A12,"Reported metrics blocked"
/work/shreeji-woodcraft/,project,qualitative,"A13;A05","No numerical SEO outcome"
/work/bhoomi/,project,qualitative,A14,"Directly retrieved during implementation"
/work/bryan-candy/,project,qualitative,"A15;A06","Metrics require reconciliation"
/work/dr-amyn-rajani/,project,qualitative,"A16;A05","Competing figures blocked"
/work/recons-group/,project,qualitative,A17,"No usable outcomes supplied"
/work/sigma-group/,project,qualitative,A18,"Periods not merged into funnel"
/work/red-moments/,project,qualitative,A19,"Mixed-channel evidence blocked"
/work/aarya-menstrual-care/,project,qualitative,A20,"Health/certification claims blocked"
/work/timex-mica/,project,qualitative,A21,"Correct surfacing business identified"
/blog/,blog_index,implemented,A22,"No unconfigured subscription"
/blog/category/seo/,category,implemented,A22,"Empty state until eligible SEO article"
/blog/category/video-production/,category,implemented,A22-A24,"Five preserved article routes"
/blog/category/digital-marketing/,category,implemented,A22-A24,"Three preserved article routes"
/blog/[seven-preserved-slugs]/,article,implemented,A24,"Dates/byline preserved; concise migration edits"
